id,date,market,region,quality_grade,price_per_kg_tzs
1,2023-01-01,Mbeya Central,Mbeya,A,2046.56
2,2023-01-01,Mbeya Central,Mbeya,B,1696.7
3,2023-01-01,Mbeya Central,Mbeya,C,1436.94
4,2023-01-01,Iringa Central,Iringa,A,2058.96
5,2023-01-01,Iringa Central,Iringa,B,1693.37
6,2023-01-01,Iringa Central,Iringa,C,1402.39
7,2023-01-01,Songea Central,Ruvuma,A,2045.22
8,2023-01-01,Songea Central,Ruvuma,B,1669.49
9,2023-01-01,Songea Central,Ruvuma,C,1439.9
10,2023-01-01,Sumbawanga Central,Rukwa,A,2055.06
11,2023-01-01,Sumbawanga Central,Rukwa,B,1658.38
12,2023-01-01,Sumbawanga Central,Rukwa,C,1408.54
13,2023-01-01,Morogoro Central,Morogoro,A,1987.85
14,2023-01-01,Morogoro Central,Morogoro,B,1686.58
15,2023-01-01,Morogoro Central,Morogoro,C,1417.52
16,2023-01-01,Dodoma Central,Dodoma,A,2028.07
17,2023-01-01,Dodoma Central,Dodoma,B,1697.65
18,2023-01-01,Dodoma Central,Dodoma,C,1413.59
19,2023-01-01,Arusha Central,Arusha,A,2335.01
20,2023-01-01,Arusha Central,Arusha,B,1917.18
21,2023-01-01,Arusha Central,Arusha,C,1644.38
22,2023-01-01,Moshi Central,Kilimanjaro,A,2360.2
23,2023-01-01,Moshi Central,Kilimanjaro,B,1962.24
24,2023-01-01,Moshi Central,Kilimanjaro,C,1618.3
25,2023-01-01,Kariakoo,Dar es Salaam,A,2315.44
26,2023-01-01,Kariakoo,Dar es Salaam,B,1918.16
27,2023-01-01,Kariakoo,Dar es Salaam,C,1612.46
28,2023-01-01,Mwenge,Dar es Salaam,A,2347.73
29,2023-01-01,Mwenge,Dar es Salaam,B,1946.07
30,2023-01-01,Mwenge,Dar es Salaam,C,1629.47
31,2023-01-01,Mwanza Central,Mwanza,A,2344.95
32,2023-01-01,Mwanza Central,Mwanza,B,1939.45
33,2023-01-01,Mwanza Central,Mwanza,C,1640.37
34,2023-01-01,Shinyanga Central,Shinyanga,A,2276.99
35,2023-01-01,Shinyanga Central,Shinyanga,B,1902.57
36,2023-01-01,Shinyanga Central,Shinyanga,C,1670.34
37,2023-01-02,Mbeya Central,Mbeya,A,2011.99
38,2023-01-02,Mbeya Central,Mbeya,B,1653.01
39,2023-01-02,Mbeya Central,Mbeya,C,1421.27
40,2023-01-02,Iringa Central,Iringa,A,1986.53
41,2023-01-02,Iringa Central,Iringa,B,1626.77
42,2023-01-02,Iringa Central,Iringa,C,1381.6
43,2023-01-02,Songea Central,Ruvuma,A,1964.81
44,2023-01-02,Songea Central,Ruvuma,B,1676.33
45,2023-01-02,Songea Central,Ruvuma,C,1419.11
46,2023-01-02,Sumbawanga Central,Rukwa,A,2008.57
47,2023-01-02,Sumbawanga Central,Rukwa,B,1676.33
48,2023-01-02,Sumbawanga Central,Rukwa,C,1386.24
49,2023-01-02,Morogoro Central,Morogoro,A,1960.16
50,2023-01-02,Morogoro Central,Morogoro,B,1623.78
51,2023-01-02,Morogoro Central,Morogoro,C,1418.21
52,2023-01-02,Dodoma Central,Dodoma,A,2010.42
53,2023-01-02,Dodoma Central,Dodoma,B,1643.82
54,2023-01-02,Dodoma Central,Dodoma,C,1409.27
55,2023-01-02,Arusha Central,Arusha,A,2245.54
56,2023-01-02,Arusha Central,Arusha,B,1930.13
57,2023-01-02,Arusha Central,Arusha,C,1636.4
58,2023-01-02,Moshi Central,Kilimanjaro,A,2320.37
59,2023-01-02,Moshi Central,Kilimanjaro,B,1921.09
60,2023-01-02,Moshi Central,Kilimanjaro,C,1637.48
