id,date,warehouse_id,region,quantity_stored_tons,capacity_tons,utilization_percent
1,2023-01-02,WH-MBE-001,Mbeya,2617.34,3903,67.1
2,2023-01-02,WH-MBE-002,Mbeya,2759.17,4442,62.1
3,2023-01-02,WH-IRI-001,Iringa,822.13,1175,70.0
4,2023-01-02,WH-IRI-002,Iringa,1635.75,2541,64.4
5,2023-01-02,WH-RUV-001,Ruvuma,405.47,662,61.2
6,2023-01-02,WH-RUV-002,Ruvuma,892.11,1861,47.9
7,2023-01-02,WH-RUK-001,Rukwa,1116.91,1839,60.7
8,2023-01-02,WH-RUK-002,Rukwa,2520.43,4309,58.5
9,2023-01-02,WH-MOR-001,Morogoro,1109.08,2435,45.5
10,2023-01-02,WH-MOR-002,Morogoro,189.2,586,32.3
11,2023-01-02,WH-DOD-001,Dodoma,777.8,2161,36.0
12,2023-01-02,WH-DOD-002,Dodoma,332.48,630,52.8
13,2023-01-02,WH-ARU-001,Arusha,442.96,955,46.4
14,2023-01-02,WH-ARU-002,Arusha,1934.99,4213,45.9
15,2023-01-02,WH-KIL-001,Kilimanjaro,1268.82,3053,41.6
16,2023-01-02,WH-KIL-002,Kilimanjaro,2128.33,4199,50.7
17,2023-01-02,WH-DAR-001,Dar es Salaam,1625.25,2543,63.9
18,2023-01-02,WH-DAR-002,Dar es Salaam,1333.39,3161,42.2
19,2023-01-02,WH-MWA-001,Mwanza,555.46,930,59.7
20,2023-01-02,WH-MWA-002,Mwanza,1040.74,2827,36.8
21,2023-01-02,WH-SHI-001,Shinyanga,888.02,2536,35.0
22,2023-01-02,WH-SHI-002,Shinyanga,2452.74,4536,54.1
23,2023-01-09,WH-MBE-001,Mbeya,2588.28,3903,66.3
24,2023-01-09,WH-MBE-002,Mbeya,2754.39,4442,62.0
25,2023-01-09,WH-IRI-001,Iringa,813.84,1175,69.3
26,2023-01-09,WH-IRI-002,Iringa,1655.26,2541,65.1
27,2023-01-09,WH-RUV-001,Ruvuma,405.65,662,61.3
28,2023-01-09,WH-RUV-002,Ruvuma,906.1,1861,48.7
29,2023-01-09,WH-RUK-001,Rukwa,1105.58,1839,60.1
30,2023-01-09,WH-RUK-002,Rukwa,2564.21,4309,59.5
31,2023-01-09,WH-MOR-001,Morogoro,1097.21,2435,45.1
32,2023-01-09,WH-MOR-002,Morogoro,187.99,586,32.1
33,2023-01-09,WH-DOD-001,Dodoma,781.82,2161,36.2
34,2023-01-09,WH-DOD-002,Dodoma,336.98,630,53.5
35,2023-01-09,WH-ARU-001,Arusha,437.79,955,45.8
36,2023-01-09,WH-ARU-002,Arusha,1910.29,4213,45.3
37,2023-01-09,WH-KIL-001,Kilimanjaro,1255.12,3053,41.1
38,2023-01-09,WH-KIL-002,Kilimanjaro,2112.18,4199,50.3
39,2023-01-09,WH-DAR-001,Dar es Salaam,1647.68,2543,64.8
40,2023-01-09,WH-DAR-002,Dar es Salaam,1314.86,3161,41.6
41,2023-01-09,WH-MWA-001,Mwanza,561.2,930,60.3
42,2023-01-09,WH-MWA-002,Mwanza,1058.79,2827,37.5
43,2023-01-09,WH-SHI-001,Shinyanga,871.02,2536,34.3
44,2023-01-09,WH-SHI-002,Shinyanga,2459.61,4536,54.2
45,2023-01-16,WH-MBE-001,Mbeya,2575.26,3903,66.0
46,2023-01-16,WH-MBE-002,Mbeya,2778.03,4442,62.5
47,2023-01-16,WH-IRI-001,Iringa,812.5,1175,69.1
48,2023-01-16,WH-IRI-002,Iringa,1625.79,2541,64.0
49,2023-01-16,WH-RUV-001,Ruvuma,401.27,662,60.6
50,2023-01-16,WH-RUV-002,Ruvuma,889.6,1861,47.8
